node1,node2,lat1,lon1,lat2,lon2,lat3,lon3,lat4,lon4,lat5,lon5,lat6,lon6
32,196,35.949167225977284,139.64650332927707,35.9493640948427,139.64604735374454,,,,,,,,
33,105,35.94950595593645,139.64673399925235,35.94984178932857,139.64696466922763,,,,,,,,
33,34,35.94950595593645,139.64673399925235,35.949167225977284,139.64777469635013,,,,,,,,
34,35,35.949167225977284,139.64777469635013,35.948828494565845,139.64750647544864,,,,,,,,
34,106,35.949167225977284,139.64777469635013,35.94948134739307,139.64803755283359,,,,,,,,
34,48,35.949167225977284,139.64777469635013,35.94872426922402,139.64905679225924,,,,,,,,
35,47,35.948828494565845,139.64750647544864,35.948385535913545,139.64879930019382,,,,,,,,
35,36,35.948828494565845,139.64750647544864,35.94846370526793,139.64723825454715,,,,,,,,
36,37,35.94846370526793,139.64723825454715,35.948185769434296,139.647029042244,,,,,,,,
36,46,35.94846370526793,139.64723825454715,35.948046801150845,139.64852035045627,,,,,,,,
37,43,35.948185769434296,139.647029042244,35.94776886385064,139.64831650257113,,,,,,,,
38,199,35.94740841245834,139.64654088020328,35.94776596865978,139.6450871229172,,,,,,,,
38,40,35.94740841245834,139.64654088020328,35.94710007321539,139.64780151844028,,,,,,,,
39,41,35.94738235566744,139.64799463748935,35.94738235566744,139.64799463748935,35.94753435349313,139.64814484119418,35.94753435349313,139.64814484119418,,,,
39,40,35.94738235566744,139.64799463748935,35.94710007321539,139.64780151844028,,,,,,,,
40,42,35.94710007321539,139.64780151844028,35.946952417377204,139.6484345197678,,,,,,,,
41,43,35.94753435349313,139.64814484119418,35.94776886385064,139.64831650257113,,,,,,,,
41,42,35.94753435349313,139.64814484119418,35.94737367006857,139.64829504489902,35.946952417377204,139.6484345197678,,,,,,
42,45,35.946952417377204,139.6484345197678,35.947126130099356,139.6488690376282,,,,,,,,
42,54,35.946952417377204,139.6484345197678,35.94667881906537,139.64950740337375,,,,,,,,
43,45,35.94776886385064,139.64831650257113,35.94780794884257,139.6485632658005,35.94728681402733,139.64875102043155,35.947126130099356,139.6488690376282,,,,
43,44,35.94776886385064,139.64831650257113,35.9479165181631,139.64901924133304,35.94819011218923,139.64936792850497,,,,,,
43,46,35.94776886385064,139.64831650257113,35.948046801150845,139.64852035045627,,,,,,,,
44,47,35.94819011218923,139.64936792850497,35.948385535913545,139.64879930019382,,,,,,,,
44,52,35.94819011218923,139.64936792850497,35.94796863138398,139.65008676052096,,,,,,,,
46,47,35.948046801150845,139.64852035045627,35.948385535913545,139.64879930019382,,,,,,,,
47,48,35.948385535913545,139.64879930019382,35.94872426922402,139.64905679225924,,,,,,,,
48,107,35.94872426922402,139.64905679225924,35.94905576323171,139.64929819107059,,,,,,,,
48,49,35.94872426922402,139.64905679225924,35.948298680984635,139.65033352375033,,,,,,,,
49,50,35.948298680984635,139.65033352375033,35.94815971289976,139.65073049068454,35.948042458388024,139.65081632137301,,,,,,
49,52,35.948298680984635,139.65033352375033,35.94796863138398,139.65008676052096,,,,,,,,
49,101,35.948298680984635,139.65033352375033,35.9486258340472,139.65056955814364,,,,,,,,
50,100,35.948042458388024,139.65081632137301,35.94813799911442,139.6510094404221,35.948472390746986,139.6509021520615,35.94858095915452,139.65128839015964,35.94857372125979,139.65129375457767,,
50,51,35.948042458388024,139.65081632137301,35.94776017829426,139.65035498142245,,,,,,,,
51,52,35.94776017829426,139.65035498142245,35.94796863138398,139.65008676052096,,,,,,,,
55,205,35.948259596235474,139.64289844036105,35.94819011218923,139.64287698268893,,,,,,,,
55,207,35.948259596235474,139.64289844036105,35.94855200758822,139.6415734291077,,,,,,,,
55,252,35.948259596235474,139.64289844036105,35.94823788247757,139.64295744895938,,,,,,,,
56,206,35.948569378525974,139.64147686958316,35.94849120927611,139.64144468307498,,,,,,,,
56,207,35.948569378525974,139.64147686958316,35.94855200758822,139.6415734291077,,,,,,,,
56,256,35.948569378525974,139.64147686958316,35.94869821286709,139.64106380939486,,,,,,,,
57,59,35.950193544330794,139.6459347009659,35.95038027783141,139.645408987999,,,,,,,,
57,58,35.950193544330794,139.6459347009659,35.95085796617313,139.64646041393283,,,,,,,,
57,60,35.950193544330794,139.6459347009659,35.95002418100671,139.64642822742465,,,,,,,,
58,66,35.95085796617313,139.64646041393283,35.950714659973876,139.64695394039157,,,,,,,,
58,210,35.95085796617313,139.64646041393283,35.950671233801565,139.64691102504733,,,,,,,,
58,61,35.95085796617313,139.64646041393283,35.9510403555053,139.64591860771182,,,,,,,,
58,63,35.95085796617313,139.64646041393283,35.95154843785321,139.64700758457187,,,,,,,,
59,61,35.95038027783141,139.645408987999,35.9510403555053,139.64591860771182,,,,,,,,
60,210,35.95002418100671,139.64642822742465,35.950671233801565,139.64691102504733,,,,,,,,
60,209,35.95002418100671,139.64642822742465,35.949998125078466,139.6465247869492,,,,,,,,
61,62,35.9510403555053,139.64591860771182,35.951743853270784,139.6464711427689,,,,,,,,
62,64,35.951743853270784,139.6464711427689,35.95213323514868,139.64675545692447,35.95256459274617,139.6472489833832,,,,,,
62,63,35.951743853270784,139.6464711427689,35.95154843785321,139.64700758457187,,,,,,,,
63,68,35.95154843785321,139.64700758457187,35.95138342001304,139.6474635601044,,,,,,,,
63,65,35.95154843785321,139.64700758457187,35.952347466730316,139.64763522148135,,,,,,,,
64,65,35.95256459274617,139.6472489833832,35.952347466730316,139.64763522148135,,,,,,,,
65,70,35.952347466730316,139.64763522148135,35.95214771026869,139.64803755283359,,,,,,,,
65,108,35.952347466730316,139.64763522148135,35.9530524003464,139.64842915534976,,,,,,,,
65,215,35.952347466730316,139.64763522148135,35.95209994234434,139.64800000190738,,,,,,,,
66,210,35.950714659973876,139.64695394039157,35.950671233801565,139.64691102504733,,,,,,,,
66,68,35.950714659973876,139.64695394039157,35.95138342001304,139.6474635601044,,,,,,,,
66,211,35.950714659973876,139.64695394039157,35.95068860427335,139.64704513549808,,,,,,,,
67,104,35.950532269889806,139.6474474668503,35.95018920168598,139.64722216129306,,,,,,,,
67,98,35.950532269889806,139.6474474668503,35.95016314581218,139.64849889278415,,,,,,,,
67,211,35.950532269889806,139.6474474668503,35.95068860427335,139.64704513549808,,,,,,,,
67,97,35.950532269889806,139.6474474668503,35.95084059573857,139.6476995944977,,,,,,,,
67,212,35.950532269889806,139.6474474668503,35.95064083546677,139.64701831340793,,,,,,,,
68,69,35.95138342001304,139.6474635601044,35.951683057414904,139.64771032333377,,,,,,,,
69,215,35.951683057414904,139.64771032333377,35.95209994234434,139.64800000190738,,,,,,,,
70,117,35.95214771026869,139.64803755283359,35.952441554749306,139.64827895164493,35.952702105586376,139.64853107929233,35.95293804809744,139.64880466461184,,,,
70,215,35.95214771026869,139.64803755283359,35.95209994234434,139.64800000190738,,,,,,,,
70,216,35.95214771026869,139.64803755283359,35.95210862742366,139.6481287479401,,,,,,,,
71,217,35.95193058310707,139.6485096216202,35.95205651693351,139.6480965614319,,,,,,,,
71,88,35.95193058310707,139.6485096216202,35.95150935471168,139.64818775653842,,,,,,,,
71,74,35.95193058310707,139.6485096216202,35.95154843785321,139.6495342254639,,,,,,,,
71,216,35.95193058310707,139.6485096216202,35.95210862742366,139.6481287479401,,,,,,,,
71,219,35.95193058310707,139.6485096216202,35.95150935471168,139.6494966745377,,,,,,,,
71,72,35.95193058310707,139.6485096216202,35.95229101386847,139.6489602327347,,,,,,,,
72,73,35.95229101386847,139.6489602327347,35.951947953301975,139.64985072612765,,,,,,,,
72,118,35.95229101386847,139.6489602327347,35.952681840546575,139.6494430303574,,,,,,,,
73,74,35.951947953301975,139.64985072612765,35.95154843785321,139.6495342254639,,,,,,,,
73,136,35.951947953301975,139.64985072612765,35.95236483683357,139.6501833200455,,,,,,,,
74,220,35.95154843785321,139.6495342254639,35.95152238242767,139.64959323406222,,,,,,,,
74,219,35.95154843785321,139.6495342254639,35.95150935471168,139.6494966745377,,,,,,,,
75,220,35.95129222579559,139.65013504028323,35.95152238242767,139.64959323406222,,,,,,,,
75,221,35.95129222579559,139.65013504028323,35.95148764184693,139.64956104755404,,,,,,,,
75,86,35.95129222579559,139.65013504028323,35.95093613308132,139.64992582798007,,,,,,,,
75,76,35.95129222579559,139.65013504028323,35.95117063334192,139.65052127838138,,,,,,,,
76,82,35.95117063334192,139.65052127838138,35.95081019746893,139.6515727043152,,,,,,,,
76,83,35.95117063334192,139.65052127838138,35.951056278369045,139.65082168579104,35.950705974741325,139.65057492256167,,,,,,
