node1,node2,total_distance_meters,total_elevation_gain_meters,total_elevation_loss_meters,start_elevation_meters,end_elevation_meters,average_gradient
70,117,111.98,0.01,0.12,12.24,12.13,-0.00098232
70,215,6.29,0.03,0.00,12.24,12.27,0.00476948
70,216,9.30,0.00,0.04,12.24,12.20,-0.00430108
71,217,39.80,0.43,0.00,11.82,12.25,0.01080402
71,88,55.02,0.47,0.00,11.82,12.29,0.00854235
71,74,101.70,0.00,0.64,11.82,11.18,-0.00629302
71,216,39.64,0.38,0.00,11.82,12.20,0.00958628
71,219,100.57,0.00,0.60,11.82,11.22,-0.00596599
71,72,57.03,0.00,0.12,11.82,11.70,-0.00210416
72,73,88.90,0.00,0.64,11.70,11.06,-0.00719910
72,118,61.46,0.06,0.00,11.70,11.76,0.00097624
73,74,52.73,0.12,0.00,11.06,11.18,0.00227574
73,136,55.14,0.39,0.00,11.06,11.45,0.00707291
74,220,6.06,0.02,0.00,11.18,11.20,0.00330033
74,219,5.50,0.04,0.00,11.18,11.22,0.00727273
75,220,55.15,0.92,0.00,10.28,11.20,0.01668178
75,221,56.14,0.96,0.00,10.28,11.24,0.01710011
75,86,43.79,0.33,0.00,10.28,10.61,0.00753597
75,76,37.37,0.00,0.16,10.28,10.12,-0.00428151
76,82,102.95,0.00,0.59,10.12,9.53,-0.00573094
76,83,74.72,0.06,0.24,10.12,9.94,-0.00240899
76,77,52.20,0.68,0.00,10.12,10.80,0.01302682
77,78,95.39,0.00,1.08,10.80,9.72,-0.01132194
77,137,50.28,0.48,0.00,10.80,11.28,0.00954654
78,81,33.36,0.00,0.13,9.72,9.59,-0.00389688
78,79,81.38,0.00,0.01,9.72,9.71,-0.00012288
78,138,53.08,0.00,0.23,9.72,9.49,-0.00433308
79,150,53.31,0.01,0.28,9.71,9.44,-0.00506472
79,80,23.38,0.13,0.00,9.71,9.84,0.00556031
80,81,91.91,0.00,0.25,9.84,9.59,-0.00272005
81,82,22.08,0.38,0.44,9.59,9.53,-0.00271739
82,243,61.69,0.10,0.00,11.74,11.84,0.00162101
82,84,55.78,0.00,0.45,9.53,9.08,-0.00806741
83,85,44.56,0.00,0.26,9.94,9.68,-0.00583483
83,84,85.80,0.00,0.86,9.94,9.08,-0.01002331
83,86,63.89,0.67,0.00,9.94,10.61,0.01048677
85,91,125.49,1.04,0.00,9.68,10.72,0.00828751
85,94,41.22,0.00,0.04,9.68,9.64,-0.00097040
85,223,123.46,1.98,0.00,9.68,11.66,0.01603758
86,222,60.63,0.75,0.00,10.61,11.36,0.01237011
87,219,46.01,0.00,0.23,11.45,11.22,-0.00499891
87,222,5.21,0.00,0.09,11.45,11.36,-0.01727447
87,88,103.39,0.84,0.00,11.45,12.29,0.00812458
87,90,41.49,0.28,0.03,11.45,11.70,0.00602555
88,214,40.67,0.25,0.00,12.29,12.54,0.00614704
88,89,39.38,0.26,0.00,12.29,12.55,0.00660234
89,90,101.55,0.00,0.87,12.55,11.68,-0.00856721
89,97,46.91,0.31,0.00,12.55,12.86,0.00660840
90,223,5.41,0.00,0.02,11.68,11.66,-0.00369686
90,96,44.85,0.25,0.00,11.68,11.93,0.00557414
91,92,41.22,0.18,0.00,10.72,10.90,0.00436681
91,242,16.03,0.00,0.13,11.71,11.58,-0.00810979
92,151,85.87,0.00,1.49,10.90,9.41,-0.01735181
92,94,125.49,0.00,1.26,10.90,9.64,-0.01004064
92,93,43.37,0.10,0.00,10.90,11.00,0.00230574
93,95,124.60,0.00,1.22,11.00,9.78,-0.00979133
93,151,113.96,1.06,2.65,11.00,9.41,-0.01395226
93,99,42.36,0.16,0.00,11.00,11.16,0.00377715
94,224,123.32,2.25,0.00,9.64,11.89,0.01824522
94,95,42.86,0.14,0.00,9.64,9.78,0.00326645
95,225,121.44,2.15,0.00,9.78,11.93,0.01770422
95,102,44.35,0.06,0.00,9.78,9.84,0.00135287
96,224,5.64,0.00,0.04,11.93,11.89,-0.00709220
96,98,42.12,0.13,0.00,11.93,12.06,0.00308642
96,97,100.60,0.93,0.00,11.93,12.86,0.00924453
98,103,42.28,0.00,0.57,12.06,11.49,-0.01348155
98,225,6.12,0.00,0.13,12.06,11.93,-0.02124183
99,100,64.91,0.91,0.00,11.16,12.07,0.01401941
99,102,125.39,0.00,1.32,11.16,9.84,-0.01052716
99,101,44.56,0.00,0.00,11.16,11.16,0.00000000
100,101,70.21,0.00,0.91,12.07,11.16,-0.01296112
101,107,124.23,0.00,1.20,11.16,9.96,-0.00965950
102,107,43.37,0.12,0.00,9.84,9.96,0.00276689
102,103,124.60,1.65,0.00,9.84,11.49,0.01324238
103,104,104.03,1.71,0.00,11.49,13.20,0.01643757
103,106,44.10,0.00,0.46,11.49,11.03,-0.01043084
103,225,43.64,0.44,0.00,11.49,11.93,0.01008249
104,105,45.01,0.00,0.14,13.20,13.06,-0.00311042
105,209,43.31,0.40,0.00,13.06,13.46,0.00923574
105,106,104.73,0.00,2.03,13.06,11.03,-0.01938318
106,107,123.15,0.00,1.07,11.03,9.96,-0.00868859
108,117,36.18,0.00,0.14,12.27,12.13,-0.00386954
108,109,67.63,0.00,0.20,12.27,12.07,-0.00295727
109,110,69.00,0.00,0.01,12.07,12.06,-0.00014493
110,112,130.14,0.00,0.21,12.06,11.85,-0.00161365
110,111,51.60,0.30,0.00,12.06,12.36,0.00581395
111,117,144.77,0.00,0.23,12.36,12.13,-0.00158873
111,113,128.06,0.00,0.18,12.36,12.18,-0.00140559
112,113,39.47,0.33,0.00,11.85,12.18,0.00836078
112,114,144.18,0.01,0.25,11.85,11.61,-0.00166459
113,116,68.21,0.00,0.18,12.18,12.00,-0.00263891
114,115,51.87,0.19,0.00,11.61,11.80,0.00366300
115,116,64.57,0.20,0.00,11.80,12.00,0.00309741
115,169,46.41,0.11,0.00,11.80,11.91,0.00237018
118,119,51.99,0.26,0.00,11.76,12.02,0.00500096
118,230,53.85,0.36,0.00,11.76,12.12,0.00668524
118,136,75.48,0.00,0.31,11.76,11.45,-0.00410705
119,120,60.86,0.13,0.00,12.02,12.15,0.00213605
119,121,87.88,0.19,0.00,12.02,12.21,0.00216204
120,136,42.04,0.00,0.70,12.15,11.45,-0.01665081
120,231,6.29,0.00,0.53,12.15,11.62,-0.08426073
120,134,39.89,0.00,0.17,12.15,11.98,-0.00426172
121,226,40.67,0.13,0.00,12.21,12.34,0.00319646
121,123,71.81,0.09,0.00,12.21,12.30,0.00125331
121,122,46.93,0.00,0.29,12.21,11.92,-0.00617942
122,124,71.43,0.31,0.00,11.92,12.23,0.00433991
122,134,53.86,0.06,0.00,11.92,11.98,0.00111400
122,232,5.23,0.00,0.08,11.92,11.84,-0.01529637
123,125,62.88,0.00,0.02,12.30,12.28,-0.00031807
123,124,32.02,0.00,0.07,12.30,12.23,-0.00218613
124,233,5.41,0.00,0.06,12.23,12.17,-0.01109057
124,126,67.96,0.19,0.00,12.23,12.42,0.00279576
125,227,62.06,0.00,0.07,12.28,12.21,-0.00112794
125,126,26.87,0.14,0.00,12.28,12.42,0.00521027
126,127,44.02,0.13,0.00,12.42,12.55,0.00295320
126,234,6.29,0.00,0.07,12.42,12.35,-0.01112878
127,229,84.98,0.00,0.54,12.55,12.01,-0.00635444
127,128,69.75,0.06,0.09,12.55,12.52,-0.00043011
127,235,3.90,0.00,0.06,12.55,12.49,-0.01538462
128,236,3.88,0.00,0.11,12.52,12.41,-0.02835052
128,228,83.65,0.00,0.69,12.52,11.83,-0.00824866
128,171,35.26,0.00,0.04,12.52,12.48,-0.00113443
129,130,43.59,0.00,1.03,9.64,8.61,-0.02362927
129,236,40.22,2.77,0.00,9.64,12.41,0.06887121
129,131,99.29,0.20,0.32,9.64,9.52,-0.00120858
130,140,156.49,0.53,0.19,8.61,8.95,0.00217266
130,142,31.24,0.28,0.00,8.61,8.89,0.00896287
131,234,46.82,2.83,0.00,9.52,12.35,0.06044425
131,132,74.96,0.13,0.00,9.52,9.65,0.00173426
132,140,35.80,0.00,0.70,9.65,8.95,-0.01955307
132,233,69.04,2.52,0.00,9.65,12.17,0.03650058
132,133,80.32,0.25,0.39,9.65,9.51,-0.00174303
133,135,55.65,0.61,0.04,9.51,10.08,0.01024259
133,232,88.01,2.33,0.00,9.51,11.84,0.02647426
134,237,4.46,0.00,0.26,11.98,11.72,-0.05829596
135,237,99.70,1.64,0.00,10.08,11.72,0.01644935
135,139,47.02,0.00,1.20,10.08,8.88,-0.02552105
135,138,91.57,0.00,0.59,10.08,9.49,-0.00644316
136,238,5.41,0.00,0.01,11.45,11.44,-0.00184843
137,138,70.76,0.00,1.79,11.28,9.49,-0.02529678
137,238,80.26,0.16,0.00,11.28,11.44,0.00199352
138,231,171.08,2.13,0.00,9.49,11.62,0.01245032
138,150,86.97,0.00,0.05,9.49,9.44,-0.00057491
139,140,130.32,0.07,0.00,8.88,8.95,0.00053714
139,148,52.51,0.38,0.00,8.88,9.26,0.00723672
139,149,71.71,0.44,0.21,8.88,9.11,0.00320736
140,141,34.84,0.07,0.00,8.95,9.02,0.00200918
141,148,147.36,0.24,0.00,9.02,9.26,0.00162866
141,147,34.63,0.00,0.10,9.02,8.92,-0.00288767
141,143,158.42,0.00,0.33,9.02,8.69,-0.00208307
142,143,31.53,0.00,0.20,8.89,8.69,-0.00634317
143,144,35.00,0.19,0.00,8.69,8.88,0.00542857
144,147,125.95,0.08,0.04,8.88,8.92,0.00031759
144,145,57.09,0.28,0.00,8.88,9.16,0.00490454
145,146,167.84,0.34,0.22,9.16,9.28,0.00071497
146,147,66.31,0.00,0.36,9.28,8.92,-0.00542905
146,148,67.79,0.06,0.08,9.28,9.26,-0.00029503
148,149,33.22,0.00,0.15,9.26,9.11,-0.00451535
149,150,43.82,0.33,0.00,9.11,9.44,0.00753081
151,152,62.79,0.01,0.00,9.41,9.42,0.00015926
152,153,55.28,0.00,0.04,9.42,9.38,-0.00072359
152,154,40.60,0.95,0.00,9.42,10.37,0.02339901
153,155,47.19,1.92,0.00,9.38,11.30,0.04068659
154,155,50.44,0.93,0.00,10.37,11.30,0.01843775
155,156,102.07,1.21,0.00,11.30,12.51,0.01185461
156,157,78.86,0.56,0.00,12.51,13.07,0.00710119
156,168,39.36,0.00,0.03,12.51,12.48,-0.00076220
157,158,41.04,0.03,0.00,13.07,13.10,0.00073099
158,160,178.75,1.47,0.00,13.10,14.57,0.00822378
158,159,35.75,0.00,0.21,13.10,12.89,-0.00587413
159,161,176.68,1.36,0.00,12.89,14.25,0.00769753
159,168,47.23,0.00,0.41,12.89,12.48,-0.00868092
160,161,29.80,0.00,0.32,14.57,14.25,-0.01073826
160,162,86.93,0.16,0.00,14.57,14.73,0.00184056
161,167,46.62,0.00,0.70,14.25,13.55,-0.01501502
161,163,73.86,0.25,0.00,14.25,14.50,0.00338478
162,163,43.27,0.00,0.23,14.73,14.50,-0.00531546
162,164,34.19,0.03,0.00,14.73,14.76,0.00087745
163,165,29.64,0.08,0.00,14.50,14.58,0.00269906
164,165,60.18,0.00,0.18,14.76,14.58,-0.00299103
164,181,295.16,0.28,3.83,14.76,11.21,-0.01202737
165,166,55.60,0.00,0.30,14.58,14.28,-0.00539568
166,167,105.53,0.00,0.73,14.28,13.55,-0.00691746
167,168,178.62,0.00,1.07,13.55,12.48,-0.00599037
169,250,62.57,0.00,0.00,11.71,11.71,0.00000000
170,171,41.81,0.23,0.00,12.25,12.48,0.00550108
170,239,40.42,0.00,0.32,12.25,11.93,-0.00791687
171,236,38.67,0.00,0.07,12.48,12.41,-0.00181019
171,173,101.12,0.00,2.12,12.48,10.36,-0.02096519
172,176,80.28,0.90,0.00,11.73,12.63,0.01121076
172,247,69.47,0.04,0.02,11.76,11.78,0.00028789
173,175,50.17,0.00,0.53,10.36,9.83,-0.01056408
173,240,116.10,1.30,0.00,10.36,11.66,0.01119724
173,179,32.12,0.00,1.25,10.36,9.11,-0.03891656
174,240,77.27,0.44,0.00,11.22,11.66,0.00569432
174,175,70.36,0.00,1.39,11.22,9.83,-0.01975554
175,178,35.10,0.00,1.10,9.83,8.73,-0.03133903
176,241,12.05,0.00,0.05,12.63,12.58,-0.00414938
177,241,135.51,4.00,0.00,8.58,12.58,0.02951812
177,180,176.22,0.12,0.00,8.58,8.70,0.00068097
177,178,40.42,0.15,0.00,8.58,8.73,0.00371103
178,179,43.31,0.38,0.00,8.73,9.11,0.00877396
179,180,241.20,0.22,0.63,9.11,8.70,-0.00169983
180,181,76.61,2.51,0.00,8.70,11.21,0.03276335
182,183,83.45,0.00,1.24,11.78,10.54,-0.01485920
183,185,9.97,0.00,0.04,10.54,10.50,-0.00401204
184,185,10.17,0.07,0.00,10.43,10.50,0.00688299
185,189,127.02,1.54,0.00,10.50,12.04,0.01212407
185,186,46.42,0.29,0.00,10.50,10.79,0.00624731
186,187,109.58,0.79,0.00,10.79,11.58,0.00720934
187,188,51.79,0.00,0.00,11.58,11.58,0.00000000
188,207,23.32,0.00,0.06,11.58,11.52,-0.00257290
189,191,6.74,0.06,0.00,12.04,12.10,0.00890208
190,191,8.24,0.11,0.00,11.99,12.10,0.01334951
191,192,42.13,0.49,0.00,12.10,12.59,0.01163067
192,194,131.15,1.08,0.00,12.59,13.67,0.00823485
193,198,61.28,0.04,0.00,12.60,12.64,0.00065274
193,251,124.30,0.01,0.00,11.68,11.69,0.00008045
194,195,48.86,0.00,0.52,13.67,13.15,-0.01064265
195,197,10.71,0.00,0.09,13.15,13.06,-0.00840336
196,197,6.72,0.00,0.14,13.20,13.06,-0.02083333
196,209,82.49,0.26,0.00,13.20,13.46,0.00315190
197,199,191.12,0.04,0.38,13.06,12.72,-0.00177899
198,200,11.50,0.02,0.00,12.64,12.66,0.00173913
199,200,10.39,0.00,0.06,12.72,12.66,-0.00577478
205,251,6.72,0.00,0.20,11.81,11.61,-0.02976190
205,208,123.50,0.00,0.16,11.70,11.54,-0.00129555
206,208,9.98,0.00,0.05,11.59,11.54,-0.00501002
207,208,9.36,0.02,0.00,11.52,11.54,0.00213675
209,212,84.07,0.04,0.00,13.46,13.50,0.00047579
210,212,10.25,0.00,0.02,13.52,13.50,-0.00195122
211,212,5.83,0.02,0.00,13.48,13.50,0.00343053
211,213,86.38,0.00,0.57,13.48,12.91,-0.00659875
213,214,40.71,0.00,0.37,12.91,12.54,-0.00908868
214,217,51.92,0.00,0.29,12.54,12.25,-0.00558552
215,217,9.96,0.00,0.02,12.27,12.25,-0.00200803
216,230,113.34,0.00,0.08,12.20,12.12,-0.00070584
216,217,6.47,0.05,0.00,12.20,12.25,0.00772798
218,238,55.14,0.28,0.00,11.16,11.44,0.00507798
218,220,52.88,0.04,0.00,11.16,11.20,0.00075643
219,221,6.29,0.02,0.00,11.22,11.24,0.00317965
220,221,4.83,0.04,0.00,11.20,11.24,0.00828157
221,222,46.08,0.12,0.00,11.24,11.36,0.00260417
222,223,41.89,0.30,0.00,11.36,11.66,0.00716161
223,224,45.26,0.23,0.00,11.66,11.89,0.00508175
224,225,40.81,0.04,0.00,11.89,11.93,0.00098015
226,227,127.93,0.00,0.13,12.34,12.21,-0.00101618
226,230,145.82,0.00,0.22,12.34,12.12,-0.00150871
227,229,65.82,0.00,0.20,12.21,12.01,-0.00303859
228,239,48.47,0.10,0.00,11.83,11.93,0.00206313
228,229,64.68,0.18,0.00,11.83,12.01,0.00278293
231,237,44.03,0.10,0.00,11.62,11.72,0.00227118
231,238,38.82,0.00,0.18,11.62,11.44,-0.00463679
232,237,52.21,0.00,0.12,11.84,11.72,-0.00229841
232,233,72.07,0.33,0.00,11.84,12.17,0.00457888
233,234,68.38,0.18,0.00,12.17,12.35,0.00263235
234,235,45.03,0.14,0.00,12.35,12.49,0.00310904
235,236,64.27,0.00,0.08,12.49,12.41,-0.00124475
239,249,57.24,0.00,0.12,11.82,11.70,-0.00209644
240,248,66.53,0.00,0.07,11.80,11.73,-0.00105216
240,241,82.26,0.92,0.00,11.66,12.58,0.01118405
242,245,64.27,0.00,0.20,11.81,11.61,-0.00311187
243,244,17.09,0.11,0.00,11.56,11.67,0.00643651
244,245,20.89,0.00,0.13,11.81,11.68,-0.00622307
245,246,58.39,0.25,0.00,11.56,11.81,0.00428156
247,250,8.59,0.00,0.11,11.59,11.48,-0.01280559
247,248,10.94,0.02,0.00,11.76,11.78,0.00182815
248,249,8.90,0.36,0.00,11.46,11.82,0.04044944
249,250,10.63,0.05,0.00,11.66,11.71,0.00470367
251,252,8.79,0.24,0.00,11.55,11.79,0.02730375
253,254,19.90,0.00,0.07,11.68,11.61,-0.00351759
254,255,26.93,0.00,0.23,11.92,11.69,-0.00854066
255,256,23.17,0.00,0.17,11.79,11.62,-0.00733707
255,257,45.54,0.00,0.17,11.85,11.68,-0.00373298
